"CTRC";"coleta";"emissao";"remetente";"pagador";"destinatario";"unidade";"pedido";"notaFiscal";"volume";"peso";"frete";"cidade";"uf";"previsaoEntrega";"dataEntrega";"dataUltimaOcorrencia";"ultimaOcorrencia";"nomeOcorrencia"
"FOR758705-8";"NORMAL";"24/09/25";"";"MJ COM. SERV.DE INFORMATICA E";"LOTEVENDAS ADMINISTRACAO LTDA";"JUAP";"";"1  000150724";"2";"26,500";"122,10";"JUAZEIRO DO NORTE";"CE";"25/09/25";"25/09/25";"25/09/25";"01";"MERCADORIA ENTREGUE"
"FOR762578-2";"NORMAL";"10/10/25";"";"MJ COM. SERV.DE INFORMATICA E";"UNIMED DE SOBRAL  COOPERATIVA DE TRABALHO MEDICO LTDA";"SOBP";"";"1  000151671";"2";"25,400";"67,82";"SOBRAL";"CE";"13/10/25";"13/10/25";"13/10/25";"01";"MERCADORIA ENTREGUE"
"FOR762918-4";"NORMAL";"13/10/25";"";"MJ COM. SERV.DE INFORMATICA E";"COMERCIAL XIMENES LTDA";"JUAP";"";"1  000151837";"2";"14,010";"322,73";"JUAZEIRO DO NORTE";"CE";"14/10/25";"14/10/25";"14/10/25";"01";"MERCADORIA ENTREGUE"
"FOR762919-2";"NORMAL";"13/10/25";"";"MJ COM. SERV.DE INFORMATICA E";"SOCIEDADE BENEFICENTE SAO CAMILO";"CTSP";"";"1  000151805";"4";"15,800";"127,37";"CRATEUS";"CE";"14/10/25";"14/10/25";"14/10/25";"01";"MERCADORIA ENTREGUE"
"FOR763589-3";"NORMAL";"15/10/25";"";"MJ COM. SERV.DE INFORMATICA E";"CEARA SERVICOS DE ATENDIMENTO";"JUAP";"";"1  000152009";"2";"2,808";"60,00";"JUAZEIRO DO NORTE";"CE";"16/10/25";"16/10/25";"16/10/25";"01";"MERCADORIA ENTREGUE"
"FOR763590-7";"NORMAL";"15/10/25";"";"MJ COM. SERV.DE INFORMATICA E";"SOCIEDADE BENEFICENTE SAO CAMILO";"CTSP";"";"1  000152093";"1";"4,956";"179,52";"CRATEUS";"CE";"16/10/25";"17/10/25";"17/10/25";"01";"MERCADORIA ENTREGUE"
"FOR764493-1";"NORMAL";"20/10/25";"";"MJ COM. SERV.DE INFORMATICA E";"ARES COMERCIAL DE MOTOS LTDA";"AS1R";"";"1  000152135";"1";"9,800";"75,00";"CAMPOS SALES";"CE";"21/10/25";"22/10/25";"22/10/25";"01";"MERCADORIA ENTREGUE"
"FOR764494-9";"NORMAL";"20/10/25";"";"MJ COM. SERV.DE INFORMATICA E";"CEARA SERVICOS DE ATENDIMENTO";"JUAP";"";"1  000152209";"1";"0,197";"60,00";"JUAZEIRO DO NORTE";"CE";"21/10/25";"21/10/25";"21/10/25";"01";"MERCADORIA ENTREGUE"
