"CTRC";"coleta";"emissao";"remetente";"pagador";"destinatario";"unidade";"pedido";"notaFiscal";"volume";"peso";"frete";"cidade";"uf";"previsaoEntrega";"dataEntrega";"dataUltimaOcorrencia";"ultimaOcorrencia";"nomeOcorrencia"
"FOR760990-6";"NORMAL";"03/10/25";"";"MJ COM. E SERV. DE INFORMATICA";"INSTITUTO LEAO SAMPAIO DE ENSINO UNIVERSITARIO LTDA";"JUAP";"";"1  000008584";"12";"72,000";"1146,60";"JUAZEIRO DO NORTE";"CE";"06/10/25";"09/10/25";"09/10/25";"01";"MERCADORIA ENTREGUE"
"FOR762864-1";"NORMAL";"13/10/25";"";"MJ COM. E SERV. DE INFORMATICA";"SERVICO SOCIAL DA INDUSTRIA";"JUAP";"";"1  000008636";"1";"0,478";"60,00";"JUAZEIRO DO NORTE";"CE";"14/10/25";"14/10/25";"14/10/25";"01";"MERCADORIA ENTREGUE"
"FOR764492-2";"NORMAL";"20/10/25";"";"MJ COM. E SERV. DE INFORMATICA";"INSTITUTO LEAO SAMPAIO DE ENSINO UNIVERSITARIO LTDA";"JUAP";"";"1  000008680";"4";"16,000";"221,04";"JUAZEIRO DO NORTE";"CE";"21/10/25";"21/10/25";"21/10/25";"01";"MERCADORIA ENTREGUE"
